num_clues,acc_single,acc_iter,correct_single,correct_iter,ms_per_puzzle_single,ms_per_puzzle_iter
80,1.0,1.0,1000,1000,0.13836952997371554,0.10320900706574321
75,1.0,1.0,1000,1000,0.10310757718980312,0.624250209890306
70,0.998,1.0,998,1000,0.10395964002236724,1.152411044575274
65,0.997,1.0,997,1000,0.1042932290583849,1.6824125717394054
60,0.98,1.0,980,1000,0.1042516864836216,2.2117653619498014
55,0.93,1.0,930,1000,0.10423318902030587,2.747559188865125
50,0.847,1.0,847,1000,0.10427415976300836,3.28139745304361
45,0.678,1.0,678,1000,0.10467736329883337,3.8163374941796064
40,0.454,1.0,454,1000,0.10443900572136045,4.351251709274948
35,0.175,0.997,175,997,0.10467276675626636,4.883748937398195
30,0.02,0.998,20,998,0.10489542922005057,5.420301530975848
25,0.0,0.995,0,995,0.10512158740311861,5.953446968458593
20,0.0,0.988,0,988,0.105029939673841,6.488265649881214
17,0.0,0.991,0,991,0.10466529615223408,6.820297574158758
